Time Stamp (Sec),Total Connected Users,Total Disconnected Users,Average User Disconnection Time,Priority 1 User Average Connection Time,Priority 2 User Average Connection Time,Priority 3 User Average Connection Time,Active UAVs,Total UAVs Travel Distance
1.5274277,3,197,1.0131,0.01653824,0,0,80,0.2600001
2.5313686,5,195,2.013567,0.06530499,0,0,80,2.277478
3.5686507,13,187,2.99122,0.1437495,0.01247191,0.0178574,80,6.366192
4.5993512,19,181,3.95334,0.22705,0.03148432,0.06873243,80,11.72843
5.6246557,28,172,4.901957,0.327343,0.08659842,0.1715897,80,16.78723
6.6544696,42,158,5.809515,0.4984539,0.1413637,0.3311736,80,21.15735
7.6779379,64,136,6.628615,0.7546388,0.2702105,0.5421318,80,24.84858
8.6906044,88,112,7.353727,1.084108,0.4938172,0.8551292,80,27.87889
9.7303095,117,83,8.022922,1.467343,0.7834632,1.288396,80,30.31687
10.7547399,148,52,8.568741,1.937481,1.209164,1.84308,80,32.10062
11.7784392,165,35,9.027123,2.453808,1.756352,2.473859,80,33.35975
12.7952466,180,20,9.438735,2.991579,2.341558,3.163893,80,34.12603
