Time Stamp (Sec),Total Connected Users,Total Disconnected Users,Average User Disconnection Time,Priority 1 User Average Connection Time,Priority 2 User Average Connection Time,Priority 3 User Average Connection Time,Active UAVs,Total UAVs Travel Distance
13.738019,5,195,1.006714,0.0006646414,0.002316429,0.00389999,75,0.6155999
14.7417535,10,190,1.992688,0.01261758,0.02635904,0.02029313,75,8.408061
15.749863,17,183,2.966389,0.03625786,0.06524017,0.06243628,75,23.33089
20.7836761,30,170,3.941639,0.09076986,0.1263411,0.1497733,75,40.15956
31.7971816,48,152,4.883086,0.1462226,0.2255921,0.252115,75,53.05892
41.5105568,76,124,5.750084,0.2565674,0.3584688,0.4042889,75,63.38263
48.8831385,109,91,6.554574,0.4324295,0.5406606,0.6303758,75,71.2048
52.7561969,137,63,7.236576,0.6686364,0.887236,0.9868976,75,76.55447
55.3856688,167,33,7.807077,0.9582915,1.34888,1.499941,75,79.85155
56.7600926,176,24,8.278582,1.356567,1.911893,2.10139,75,81.65424
58.0582263,182,18,8.724086,1.751395,2.498194,2.756462,75,82.46377
59.3145568,183,17,9.171082,2.173808,3.079016,3.389796,75,82.67716
60.591793,183,17,9.599086,2.604843,3.670795,4.05936,75,82.68346
61.8544662,183,17,10.04458,3.035877,4.248878,4.692693,75,82.68346
63.0906932,183,17,10.47609,3.47898,4.837919,5.344866,75,82.68346
