Time Stamp (Sec),Total Connected Users,Total Disconnected Users,Average User Disconnection Time,Priority 1 User Average Connection Time,Priority 2 User Average Connection Time,Priority 3 User Average Connection Time,Active UAVs,Total UAVs Travel Distance
2.3607777,2,198,0.9991905,0.004717408,0,0.005133019,75,1.08
3.3566651,2,198,1.990299,0.01847465,0,0.01926639,75,9.92472
4.4658808,8,192,2.975084,0.03688791,0,0.05782086,75,25.37825
5.4397669,25,175,3.913265,0.1087339,0.03721292,0.1394915,75,39.95641
6.4519293,53,147,4.796748,0.2343986,0.1522725,0.293726,75,53.09838
7.4649212,91,109,5.551394,0.46235,0.4150079,0.5825895,75,63.58654
8.4755652,129,71,6.180202,0.8387561,0.7445325,1.01824,75,71.60176
9.4854627,151,49,6.691333,1.32146,1.172422,1.604304,75,76.88919
10.4928777,172,28,7.13233,1.842813,1.701074,2.249006,75,80.12488
11.4934435,182,18,7.523527,2.376286,2.284093,2.95758,75,81.79445
12.4984822,191,9,7.892299,2.910095,2.915704,3.697932,75,82.49251
13.5129698,194,6,8.255356,3.465498,3.563859,4.445896,75,82.67715
14.5245804,194,6,8.617072,3.986882,4.229018,5.202636,75,82.68272
15.5414484,194,6,8.981389,4.52755,4.868647,5.973919,75,82.68272
16.5574545,194,6,9.345161,5.085507,5.51973,6.720347,75,82.68272
17.7900781,191,9,9.715913,5.608127,6.182786,7.441206,75,82.76624
18.8046199,192,8,10.094,6.126785,6.817348,8.190619,75,83.29203
19.8118411,192,8,10.47167,6.647927,7.484991,8.89088,75,84.09387
20.8125292,192,8,10.84393,7.166406,8.150457,9.586546,75,84.85376
22.0749047,191,9,11.2319,7.668973,8.825582,10.25203,75,85.47301
23.079839,191,9,11.6093,8.188973,9.469564,10.95426,75,85.93011
24.0915067,195,5,11.98077,8.733442,10.13778,11.67146,75,86.27312
25.0939537,195,5,12.34517,9.257696,10.79235,12.40219,75,86.48849
26.0975434,195,5,12.70814,9.794785,11.42508,13.14916,75,86.58349
27.1128636,195,5,13.07771,10.30353,12.09565,13.89735,75,86.58867
28.1171354,195,5,13.44213,10.82081,12.73203,14.66037,75,86.58867
29.1278414,195,5,13.80675,11.35278,13.37215,15.42208,75,86.58867
30.1455866,195,5,14.17651,11.87863,14.02189,16.17958,75,86.58867
31.1548918,195,5,14.54676,12.40047,14.64513,16.95286,75,86.58867
32.1575094,194,6,14.92304,12.9255,15.23369,17.71201,75,86.58867
33.4074778,184,16,15.32533,13.43874,15.82804,18.42192,75,86.83058
34.4105258,192,8,15.73184,13.98393,16.3914,19.09521,75,87.75641
35.4144827,193,7,16.12238,14.50181,16.99701,19.80675,75,88.56242
36.4235619,194,6,16.50735,15.03083,17.60713,20.53551,75,89.02851
37.4234222,193,7,16.88152,15.57903,18.21817,21.25303,75,89.24316
38.4340547,193,7,17.2573,16.12147,18.83258,21.99713,75,89.34886
39.4489097,193,7,17.63621,16.67483,19.44663,22.72953,75,89.37992
40.4479717,192,8,18.01258,17.20613,20.04259,23.46978,75,89.38007
41.4630183,191,9,18.38986,17.74549,20.65631,24.22305,75,89.38007
42.4756083,191,9,18.7667,18.28961,21.2806,24.9598,75,89.38007
43.4774091,191,9,19.14216,18.81983,21.87954,25.70421,75,89.38007
44.4833998,191,9,19.51739,19.35576,22.4861,26.44946,75,89.38007
45.496621,191,9,19.89769,19.90821,23.07189,27.20539,75,89.38007
46.5115052,192,8,20.28071,20.43245,23.68405,27.96282,75,89.38007
47.5297324,191,9,20.66397,20.9925,24.2721,28.7108,75,89.38007
48.7326245,183,17,21.07832,21.47725,24.81946,29.46037,75,89.91733
49.7415827,186,14,21.49054,21.97522,25.37899,30.18895,75,91.47929
50.7468167,190,10,21.88304,22.52685,25.95407,30.89527,75,92.76517
51.7528112,190,10,22.26797,23.07508,26.54682,31.61627,75,93.50001
52.7676455,189,11,22.66176,23.60627,27.11791,32.36898,75,93.86855
53.7798471,191,9,23.04858,24.13638,27.70958,33.12244,75,94.01169
54.7967562,190,10,23.43453,24.65364,28.31599,33.86691,75,94.06746
55.8010294,189,11,23.81937,25.17274,28.91192,34.62631,75,94.07015
56.8197549,188,12,24.20825,25.69939,29.53236,35.35847,75,94.07015
57.8348816,186,14,24.59722,26.21198,30.13377,36.11732,75,94.07015
58.840755,186,14,24.98157,26.70645,30.72651,36.87397,75,94.07015
59.844813,185,15,25.37147,27.20517,31.34999,37.60717,75,94.07015
60.853563,185,15,25.75994,27.7001,31.96961,38.34896,75,94.07015
61.8566053,186,14,26.14797,28.2031,32.55937,39.09181,75,94.07015
62.8657547,187,13,26.53982,28.68726,33.16602,39.85097,75,94.07015
64.0485101,176,24,26.98176,29.09918,33.75377,40.56132,75,94.91639
65.0634355,180,20,27.41528,29.53849,34.33439,41.27653,75,96.81008
66.0774731,181,19,27.83993,29.98935,34.91876,41.99995,75,98.30628
67.0817421,162,38,28.27907,30.39777,35.49342,42.70971,70,99.24896
