Time Stamp (Sec),Total Connected Users,Total Disconnected Users,Average User Disconnection Time,Priority 1 User Average Connection Time,Priority 2 User Average Connection Time,Priority 3 User Average Connection Time,Active UAVs,Total UAVs Travel Distance
1.7712839,1,199,1.038503,0.004166667,0,0,80,0.2400002
2.9442386,3,197,2.030503,0.01527778,0.01212121,0,80,2.218961
4.0828607,8,192,3.013995,0.02916667,0.03636364,0.01129032,80,5.996858
5.0778829,16,184,3.999907,0.07821414,0.06378978,0.09008371,80,11.01747
6.0747079,25,175,4.939548,0.1553537,0.1282636,0.2149552,80,15.90265
7.0676004,42,158,5.809139,0.2435709,0.2641267,0.4067801,80,20.12875
8.096759,72,128,6.595117,0.4404779,0.491629,0.6854663,80,23.7583
9.0828273,96,104,7.284704,0.722519,0.7726887,1.062291,80,26.66744
10.0951674,122,78,7.899327,1.070863,1.140536,1.552416,80,28.95917
11.0977133,143,57,8.431957,1.490504,1.577521,2.113643,80,30.70843
12.105369,165,35,8.890141,1.995155,2.069518,2.781131,80,31.91053
13.1186859,179,21,9.2734,2.556448,2.658548,3.528164,80,32.69012
14.1323518,182,18,9.647375,3.133993,3.250215,4.292206,80,33.11572
15.1481067,183,17,10.01031,3.724917,3.852446,5.072622,80,33.31005
16.1593536,183,17,10.36881,4.313021,4.457987,5.847733,80,33.36384
17.1889598,168,32,10.76314,4.872992,5.035463,6.571146,80,33.44328
18.2013052,164,36,11.19823,5.411217,5.567633,7.245433,80,33.8479
19.2131153,142,58,11.65742,5.884752,6.102458,7.908519,80,34.42076
20.228553,169,31,12.12842,6.379044,6.612271,8.547887,80,35.00906
21.2405923,179,21,12.53121,6.934935,7.16316,9.26831,80,35.49216
