Time Stamp (Sec),Total Connected Users,Total Disconnected Users,Average User Disconnection Time,Priority 1 User Average Connection Time,Priority 2 User Average Connection Time,Priority 3 User Average Connection Time,Active UAVs,Total UAVs Travel Distance
1.6694737,6,194,0.9955552,0,0,0.01817255,75,0.9936009
2.6816141,10,190,1.986257,0.01188952,0.006584165,0.06768776,75,9.915888
3.6922705,20,180,2.956847,0.05916183,0.02845821,0.1234837,75,25.29831
4.7023487,30,170,3.886842,0.1258209,0.09197141,0.2405837,75,39.47551
5.7131658,57,143,4.733673,0.3270642,0.211909,0.4213999,75,51.80323
6.7259501,86,114,5.461713,0.6275755,0.4760698,0.7161384,75,61.49123
