Time Stamp (Sec),Total Connected Users,Total Disconnected Users,Average User Disconnection Time,Priority 1 User Average Connection Time,Priority 2 User Average Connection Time,Priority 3 User Average Connection Time,Active UAVs,Total UAVs Travel Distance
2.1094685,2,198,1.001221,0,0.004910347,0.005271401,75,0.9936009
3.1263101,4,196,2.010136,0,0.02866487,0.01996814,75,9.92088
4.1741734,15,185,3.005446,0.005205942,0.08695298,0.07051218,75,26.11848
5.1615588,36,164,3.918476,0.06829643,0.2043498,0.177956,75,40.28153
6.1727807,53,147,4.766674,0.1509274,0.4018492,0.3737098,75,52.96984
7.1834639,87,113,5.493252,0.3151432,0.7444962,0.6987021,75,63.08961
8.1936476,120,80,6.100914,0.611542,1.190836,1.148688,75,70.79358
9.1958987,141,59,6.61902,1.003707,1.705661,1.676373,75,75.88065
