Time Stamp (Sec),Total Connected Users,Total Disconnected Users,Average User Disconnection Time,Priority 1 User Average Connection Time,Priority 2 User Average Connection Time,Priority 3 User Average Connection Time,Active UAVs,Total UAVs Travel Distance
1.9957759,6,194,1.00971,0.008743913,0.007872203,0,75,1.08
3.0127143,8,192,2.005323,0.04083676,0.03485096,0,75,9.919057
4.0354872,13,187,3.001033,0.0802967,0.07637606,0.02219785,75,25.96825
5.039095,29,171,3.943911,0.1368697,0.1514919,0.08582368,75,40.74603
6.0491031,54,146,4.806054,0.2611392,0.3014682,0.2594169,75,53.54562
7.0594494,87,113,5.539519,0.5028849,0.6083133,0.5496708,75,64.23957
8.0736864,120,80,6.17338,0.8081697,1.111145,0.8969247,75,72.27392
9.0842903,141,59,6.709991,1.203667,1.669423,1.378401,75,77.58678
10.0949295,167,33,7.152174,1.700249,2.315486,1.953228,75,80.87554
