Time Stamp (Sec),Total Connected Users,Total Disconnected Users,Average User Disconnection Time,Priority 1 User Average Connection Time,Priority 2 User Average Connection Time,Priority 3 User Average Connection Time,Active UAVs,Total UAVs Travel Distance
2.4625118,6,194,1.011923,0.009446155,0.006473634,0.005304784,75,1.2636
3.4823427,8,192,2.026407,0.04381344,0.02295456,0.01606356,75,10.72095
4.5465543,17,183,3.032395,0.1222741,0.04738112,0.02913054,75,27.22523
5.5201066,27,173,3.952647,0.2377065,0.123154,0.09125787,75,41.61522
6.5219437,60,140,4.792517,0.4661768,0.2609287,0.2108226,75,54.42599
7.5331872,86,114,5.514939,0.8139353,0.5265998,0.4612541,75,64.94817
8.5455551,112,88,6.148348,1.226554,0.8794814,0.8310558,75,73.05324
16.4668787,148,52,6.672735,1.69947,1.378594,1.317052,75,78.46393
17.4790173,168,32,7.108145,2.234714,1.970713,1.923146,75,81.85806
18.4898895,177,23,7.499987,2.762677,2.610993,2.609018,75,83.70246
19.5004327,186,14,7.859897,3.309746,3.275177,3.348091,75,84.48351
20.5110899,189,11,8.208088,3.856244,3.958041,4.10462,75,84.65794
21.5211151,189,11,8.554881,4.408091,4.661438,4.844531,75,84.65977
22.5333275,189,11,8.900559,4.960415,5.339045,5.605813,75,84.65977
23.5429307,189,11,9.247149,5.5112,6.021834,6.363086,75,84.65977
32.0798625,186,14,9.607724,6.056776,6.699187,7.100497,75,84.78072
33.0916447,186,14,9.968663,6.601211,7.3496,7.854635,75,85.27743
34.1055557,187,13,10.32804,7.147832,8.004066,8.611695,75,85.80197
35.1204111,188,12,10.68905,7.692214,8.649899,9.376967,75,86.20509
36.1304399,188,12,11.05153,8.243094,9.299436,10.11659,75,86.47609
37.1312336,187,13,11.41085,8.803095,9.925306,10.8507,75,86.64946
38.1480331,187,13,11.77111,9.387712,10.58134,11.57376,75,86.7841
39.1621373,187,13,12.13037,9.958356,11.22606,12.31771,75,86.87713
40.1767969,187,13,12.48989,10.533,11.85796,13.07032,75,86.92776
41.1890899,187,13,12.84529,11.1,12.49383,13.82969,75,86.93794
42.2051201,187,13,13.20442,11.67918,13.14527,14.56227,75,86.93794
43.2140993,188,12,13.56297,12.24094,13.80217,15.2963,75,86.93794
44.2267052,187,13,13.91815,12.81447,14.45929,16.0333,75,86.93794
45.2401356,186,14,14.27508,13.3592,15.11683,16.79332,75,86.93794
46.2530224,184,16,14.63141,13.91475,15.81535,17.51509,75,86.93794
47.3275729,181,19,14.99498,14.46589,16.47813,18.24291,75,87.17554
48.3398556,183,17,15.35052,15.01271,17.16156,18.97854,75,87.94747
49.3546538,183,17,15.70387,15.58405,17.83251,19.7244,75,88.72147
50.3697991,185,15,16.04843,16.13699,18.51366,20.48671,75,89.31693
51.3788373,185,15,16.39497,16.68142,19.17446,21.27359,75,89.70332
52.3797142,186,14,16.7346,17.22519,19.84027,22.04306,75,89.91591
53.3912149,187,13,17.06968,17.75744,20.54249,22.8131,75,90.02497
54.3840718,186,14,17.4115,18.28596,21.20742,23.59389,75,90.07311
55.3958035,186,14,17.75782,18.81397,21.8926,24.37498,75,90.08266
56.4127162,185,15,18.11388,19.346,22.57251,25.14063,75,90.08266
57.4250338,185,15,18.46809,19.87546,23.25129,25.90792,75,90.08266
58.4399475,186,14,18.81976,20.41659,23.92111,26.68265,75,90.08266
59.4514922,184,16,19.1739,20.94352,24.57529,27.46849,75,90.08266
60.4568296,183,17,19.52973,21.46107,25.24323,28.23127,75,90.08266
61.6096028,180,20,19.92539,22.04276,25.93393,29.04548,75,90.08698
62.6218945,182,18,20.30743,22.57677,26.52312,29.80328,75,90.53876
63.6215354,183,17,20.6787,23.10104,27.1399,30.54321,75,91.45905
64.6320109,186,14,21.04577,23.63129,27.78269,31.29402,75,92.2656
65.6453105,184,16,21.40758,24.15345,28.47981,32.02875,75,92.87017
66.6551359,184,16,21.77047,24.6817,29.14124,32.78267,75,93.25657
67.6569834,184,16,22.13189,25.20613,29.80685,33.51051,75,93.46071
68.6673633,185,15,22.49455,25.72668,30.4836,34.25686,75,93.56434
69.6809211,186,14,22.85738,26.25198,31.1662,35.00126,75,93.62881
70.6867491,187,13,23.21716,26.77864,31.85096,35.73271,75,93.65208
71.6985492,187,13,23.57807,27.31174,32.53241,36.46628,75,93.65208
72.7081982,186,14,23.94071,27.85937,33.23272,37.1674,75,93.65208
73.8617348,186,14,24.32424,28.38118,33.8808,37.86003,75,93.65208
74.8740842,186,14,24.69645,28.89802,34.58525,38.56593,75,93.65208
