Time Stamp (Sec),Total Connected Users,Total Disconnected Users,Average User Disconnection Time,Priority 1 User Average Connection Time,Priority 2 User Average Connection Time,Priority 3 User Average Connection Time,Active UAVs,Total UAVs Travel Distance
2.0583537,1,199,1.00462,0.0004106781,0,0,75,1.08
3.0971336,7,193,2.021775,0.0152431,0.003200623,0.01994251,75,10.43712
4.0885286,17,183,2.981948,0.05093666,0.02830064,0.07613532,75,25.36594
5.0832318,29,171,3.911175,0.1362312,0.111986,0.1678973,75,39.69696
6.0840797,54,146,4.736192,0.2774163,0.3493303,0.331715,75,51.89027
7.0954952,87,113,5.467465,0.5010828,0.6874743,0.6287299,75,61.84724
8.1174508,120,80,6.077888,0.8522779,1.125486,1.078595,75,69.18098
Time Stamp (Sec),Total Connected Users,Total Disconnected Users,Average User Disconnection Time,Priority 1 User Average Connection Time,Priority 2 User Average Connection Time,Priority 3 User Average Connection Time,Active UAVs,Total UAVs Travel Distance
2.0184491,4,196,1.006332,0.01486628,0,0,75,1.360801
3.0382827,11,189,2.022238,0.07417956,0.008124985,0.006288196,75,10.98092
4.0416505,22,178,3.002613,0.1469989,0.03213197,0.04819102,75,26.38322
5.0382758,44,156,3.906294,0.270408,0.09728348,0.1685271,75,40.93002
6.0526925,71,129,4.732753,0.4394321,0.2269413,0.4302561,75,53.87029
7.0657058,91,109,5.469643,0.6647156,0.4154625,0.8357753,75,64.27074
8.0679909,118,82,6.11054,0.983819,0.6855668,1.325224,75,72.13773
9.0701445,145,55,6.669954,1.353078,1.054997,1.913928,75,77.60626
10.0828893,173,27,7.142982,1.785797,1.57923,2.573221,75,81.14095
11.095117,187,13,7.553039,2.293895,2.180693,3.27443,75,83.06548
12.1041932,192,8,7.941969,2.801444,2.8342,3.985474,75,83.8339
13.1145781,192,8,8.327588,3.30425,3.47785,4.721171,75,84.00589
14.1255435,192,8,8.71234,3.807406,4.130426,5.45104,75,84.00791
15.1357115,192,8,9.097295,4.311976,4.769503,6.190949,75,84.00791
16.1476011,192,8,9.482216,4.8205,5.406447,6.928965,75,84.00791
17.2330635,192,8,9.869735,5.300274,6.071323,7.667813,75,84.00791
18.24351,191,9,10.25421,5.783676,6.719132,8.424403,75,84.00791
19.2584911,190,10,10.64293,6.268937,7.367009,9.181264,75,84.00791
20.2697464,189,11,11.03513,6.742537,8.011786,9.926259,75,84.00791
21.2837924,188,12,11.43024,7.204923,8.662663,10.68418,75,84.00791
22.2893456,188,12,11.81817,7.6766,9.307241,11.42723,75,84.00791
23.3013491,188,12,12.20912,8.148163,9.93927,12.1952,75,84.00791
24.3120429,188,12,12.5997,8.629822,10.58666,12.93744,75,84.00791
25.3217086,188,12,12.98884,9.081902,11.2385,13.70618,75,84.00791
26.3335495,188,12,13.38057,9.553871,11.88295,14.45536,75,84.00791
27.3453849,187,13,13.76783,10.03297,12.52293,15.22141,75,84.00791
28.3564495,186,14,14.14722,10.51561,13.17951,15.98337,75,84.00791
29.367151,186,14,14.52658,10.98806,13.82888,16.76514,75,84.00791
30.3786777,187,13,14.90685,11.47433,14.47823,17.52874,75,84.00791
31.3900641,186,14,15.29088,11.95946,15.11078,18.298,75,84.00791
32.4704437,161,39,15.748,12.40142,15.66649,18.9622,75,84.78809
33.4805186,178,22,16.18314,12.86694,16.23565,19.65804,75,86.9291
34.4911969,180,20,16.5868,13.36603,16.85169,20.36943,75,88.63924
35.5026063,182,18,16.99364,13.8677,17.44403,21.08983,75,89.70319
36.5155252,181,19,17.40182,14.36155,18.05952,21.80454,75,90.27498
37.5327437,183,17,17.80699,14.86651,18.6757,22.52383,75,90.59743
38.5423619,184,16,18.20202,15.38924,19.2776,23.24902,75,90.81371
39.5537921,184,16,18.59451,15.90935,19.88529,23.97783,75,90.94505
40.5635996,184,16,18.98832,16.4379,20.49642,24.69059,75,90.99689
41.5753967,184,16,19.38157,16.96483,21.10119,25.41575,75,90.99689
42.5901,184,16,19.77599,17.49142,21.7132,26.14137,75,90.99689
43.6016514,182,18,20.17108,18.01448,22.32324,26.85979,75,90.99689
44.6047191,182,18,20.56566,18.52975,22.9416,27.55623,75,90.99689
45.6057796,182,18,20.9648,19.04128,23.55397,28.24227,75,90.99689
46.6073342,182,18,21.36461,19.55001,24.15099,28.9465,75,90.99689
47.7062634,172,28,21.81882,20.00298,24.66952,29.62376,75,91.84294
48.7094091,172,28,22.25909,20.46561,25.19811,30.32676,75,93.75887
49.7099291,172,28,22.69732,20.92331,25.71041,31.04283,75,95.28734
50.7272905,182,18,23.12259,21.41869,26.26453,31.76677,75,96.23383
51.7362873,182,18,23.51428,21.94041,26.84569,32.51646,75,96.73423
