Time Stamp (Sec),Total Connected Users,Total Disconnected Users,Average User Disconnection Time,Priority 1 User Average Connection Time,Priority 2 User Average Connection Time,Priority 3 User Average Connection Time,Active UAVs,Total UAVs Travel Distance
1.3584862,2,198,1.021984,0,0,0,80,0.2600001
2.3693134,5,195,2.03958,0,0,0,80,2.277479
3.4122956,8,192,3.087422,0,0,0,80,6.439322
4.444908,14,186,4.121676,0,0,0,80,11.58877
5.4751549,28,172,5.149172,0,0,0,80,16.61189
6.5281327,43,157,6.197233,0,0,0,80,20.91994
7.5390066,65,135,7.205964,0,0,0,80,24.45871
8.5811182,86,114,8.250688,0,0,0,80,27.39418
9.6462779,105,95,9.307881,0,0,0,80,29.72251
10.6856038,134,66,10.3468,0,0,0,80,31.39897
11.7425915,165,35,11.40447,0,0,0,80,32.56522
12.7951999,178,22,12.44741,0,0,0,80,33.29609
13.8107475,184,16,13.46478,0,0,0,80,33.67307
14.8255445,184,16,14.46891,0,0,0,80,33.83081
15.8545356,184,16,15.50259,0,0,0,80,33.85162
