Time Stamp (Sec),Total Connected Users,Total Disconnected Users,Average User Disconnection Time,Priority 1 User Average Connection Time,Priority 2 User Average Connection Time,Priority 3 User Average Connection Time,Active UAVs,Total UAVs Travel Distance
2.3373142,1,199,1.026806,0,0,0.00596079,75,1.2636
3.3847155,9,191,2.044539,0.01297563,0.008329323,0.03277079,75,10.98284
4.4102513,16,184,3.00653,0.0618019,0.0543687,0.0722725,75,26.83348
5.3731825,30,170,3.930823,0.1671517,0.1261785,0.1438234,75,40.94196
6.3832836,61,139,4.764709,0.3469087,0.275363,0.3289199,75,53.98092
7.3903885,87,113,5.494491,0.622096,0.5490418,0.6244389,75,64.40475
8.4039235,122,78,6.127668,0.9727846,0.9236497,1.042863,75,72.41486
9.4053545,153,47,6.641103,1.403763,1.436107,1.568317,75,77.75391
10.407291,170,30,7.075873,1.885396,2.015371,2.21846,75,81.02312
11.4082644,177,23,7.454691,2.390931,2.637563,2.967889,75,82.76634
12.4249235,184,16,7.825698,2.937481,3.267691,3.737229,75,83.48135
13.4254016,186,14,8.188023,3.459047,3.917485,4.490579,75,83.63744
14.4281999,186,14,8.547725,3.995163,4.569643,5.242569,75,83.64104
15.4431986,185,15,8.910859,4.539236,5.23104,6.00234,75,83.64104
16.455527,185,15,9.274625,5.085331,5.868083,6.774469,75,83.64104
17.5365336,182,18,9.641198,5.62668,6.528124,7.525161,75,83.66639
18.5403761,182,18,10.00204,6.169124,7.17108,8.281296,75,83.80439
