Time Stamp (Sec),Total Connected Users,Total Disconnected Users,Average User Disconnection Time,Priority 1 User Average Connection Time,Priority 2 User Average Connection Time,Priority 3 User Average Connection Time,Active UAVs,Total UAVs Travel Distance
2.0779297,5,195,1.006858,0,0.008956173,0.0121724,75,1.08
3.1401498,8,192,1.992,0,0.04246013,0.04440827,75,10.18204
4.1674,18,182,2.963387,0.01542449,0.08649998,0.09463033,75,25.9876
5.1359901,27,173,3.889252,0.07395541,0.1790338,0.1861515,75,40.26947
6.1376467,52,148,4.756145,0.1808689,0.3253797,0.337333,75,53.29514
7.151914,83,117,5.506459,0.4147297,0.5929008,0.6309625,75,64.27978
8.1913664,108,92,6.186203,0.6910826,0.9789466,1.052522,75,72.78408
9.2279919,138,62,6.742975,1.065128,1.425433,1.60484,75,78.37758
10.2378674,165,35,7.192379,1.538752,1.994901,2.256,75,81.89755
11.2487093,179,21,7.591243,2.073452,2.610079,2.952172,75,83.81422
Time Stamp (Sec),Total Connected Users,Total Disconnected Users,Average User Disconnection Time,Priority 1 User Average Connection Time,Priority 2 User Average Connection Time,Priority 3 User Average Connection Time,Active UAVs,Total UAVs Travel Distance
2.1205144,4,196,1.022629,0,0,0.01572704,75,1.17
3.131863,5,195,2.017272,0,0.007606861,0.05853932,75,10.45814
4.1890732,11,189,3.018066,0.007226095,0.01836506,0.1203645,75,26.65063
5.1495063,30,170,3.947464,0.04709477,0.1120058,0.2107688,75,40.90284
6.1565287,51,149,4.807608,0.1589492,0.2862285,0.3657101,75,53.88125
7.1629473,82,118,5.5593,0.378451,0.5484579,0.6408172,75,64.80161
8.1783557,107,93,6.22566,0.6717069,0.8710702,1.064811,75,73.04276
9.1825501,135,65,6.780237,1.108787,1.256306,1.584709,75,78.59943
10.1928759,164,36,7.246446,1.658798,1.752841,2.172727,75,82.03722
11.194001,175,25,7.65499,2.251053,2.305791,2.80661,75,83.94502
12.2043098,184,16,8.046419,2.828159,2.91164,3.477189,75,84.79501
13.2154682,184,16,8.433776,3.409356,3.494077,4.175797,75,84.98758
14.2266517,183,17,8.821521,3.981215,4.105586,4.85674,75,84.99181
15.2374841,182,18,9.208464,4.557199,4.712203,5.541684,75,84.99181
16.2482145,182,18,9.595737,5.120774,5.325404,6.225865,75,84.99181
17.386879,180,20,9.993132,5.702741,5.910253,6.906628,75,85.01873
18.3978092,180,20,10.39035,6.266558,6.506042,7.579467,75,85.11651
19.4093462,182,18,10.78896,6.828509,7.123326,8.234822,75,85.18088
20.4227436,183,17,11.18121,7.422703,7.724147,8.900243,75,85.20238
21.4346442,183,17,11.57078,8.003531,8.337098,9.569651,75,85.20238
22.4419852,184,16,11.95801,8.579516,8.963531,10.21865,75,85.20238
23.4505513,184,16,12.34398,9.17897,9.570084,10.87776,75,85.20238
24.451536,184,16,12.72873,9.751681,10.18887,11.52962,75,85.20238
25.4618884,185,15,13.11431,10.34396,10.80082,12.19586,75,85.20238
26.4736935,186,14,13.5017,10.91489,11.41239,12.87725,75,85.20238
27.4890527,186,14,13.8873,11.49443,12.03826,13.55485,75,85.20238
28.5027248,186,14,14.27204,12.07209,12.65219,14.24458,75,85.20238
29.5162828,186,14,14.66095,12.64381,13.27736,14.91492,75,85.20238
30.5279636,186,14,15.04724,13.21444,13.89232,15.59539,75,85.20238
31.5430083,185,15,15.43513,13.78194,14.51421,16.2798,75,85.20238
32.6835185,184,16,15.82742,14.35142,15.12659,16.96121,75,85.24174
33.6939597,184,16,16.21841,14.92569,15.72807,17.63974,75,85.37373
34.7052979,185,15,16.60514,15.49737,16.34346,18.31891,75,85.47621
35.72092,187,13,16.98436,16.07495,16.96536,19.02128,75,85.53953
36.7242368,187,13,17.35449,16.64263,17.58455,19.72523,75,85.56103
37.727256,186,14,17.7203,17.23774,18.20027,20.42012,75,85.56103
38.7406038,185,15,18.08889,17.83572,18.83211,21.11583,75,85.56103
39.7426779,185,15,18.45686,18.43938,19.43918,21.80566,75,85.56103
40.753512,186,14,18.82917,19.026,20.0697,22.49665,75,85.56103
41.7647839,185,15,19.20267,19.62434,20.68263,23.19643,75,85.56103
42.7804696,185,15,19.57832,20.22293,21.288,23.90368,75,85.56103
43.7912938,186,14,19.95064,20.83111,21.88901,24.60664,75,85.56103
44.806072,186,14,20.32642,21.44167,22.48674,25.31339,75,85.56103
