Time Stamp (Sec),Total Connected Users,Total Disconnected Users,Average User Disconnection Time,Priority 1 User Average Connection Time,Priority 2 User Average Connection Time,Priority 3 User Average Connection Time,Active UAVs,Total UAVs Travel Distance
1.2365049,4,196,1.003588,0.002578807,0.002971938,0,80,0.2400002
2.2460082,4,196,2.009062,0.009155732,0.01103691,0,80,2.217841
3.2570309,16,184,3.003706,0.02835616,0.03355268,0.005923162,80,6.151558
4.267724,25,175,3.984,0.06475256,0.06963521,0.02161196,80,11.13375
5.2773791,38,162,4.948144,0.1327731,0.1112634,0.05530848,80,16.06491
6.2885289,56,144,5.877614,0.2070402,0.1935952,0.1433998,80,20.23301
7.2990377,74,126,6.775472,0.291354,0.3138407,0.2707825,80,23.81222
8.3094155,92,108,7.639781,0.4050842,0.4736979,0.4285169,80,26.68262
9.3198618,118,82,8.460617,0.5648277,0.6663892,0.6435824,80,28.98659
10.3302851,145,55,9.23622,0.7520967,0.9055589,0.9148663,80,30.68812
11.3409229,169,31,9.962227,0.9852672,1.201522,1.232324,80,31.91896
12.3511357,181,19,10.65713,1.24657,1.53882,1.572659,80,32.70263
13.3622534,187,13,11.33841,1.520625,1.885405,1.928914,80,33.16682
14.372415,191,9,12.0179,1.796926,2.233888,2.288452,80,33.37971
15.3833976,189,11,12.69724,2.073955,2.57831,2.652707,80,33.43337
16.445415,184,16,13.38188,2.352695,2.911449,3.016158,80,33.48659
17.4555775,187,13,14.0702,2.625247,3.24197,3.373376,80,33.75573
18.4658007,190,10,14.75509,2.903844,3.5666,3.743004,80,34.05145
19.4813803,188,12,15.44424,3.181038,3.892237,4.117746,80,34.26408
20.4923308,192,8,16.12656,3.455885,4.216671,4.496543,80,34.39365
21.5025299,191,9,16.79952,3.745445,4.554485,4.877406,80,34.44838
22.5136335,191,9,17.47649,4.028614,4.88789,5.256962,80,34.47697
23.5240938,193,7,18.1566,4.302917,5.221227,5.636682,80,34.49332
24.5348027,193,7,18.83747,4.580363,5.55007,6.015217,80,34.50103
25.5452965,190,10,19.52324,4.845043,5.883843,6.381235,80,34.50105
26.5560035,191,9,20.20794,5.112932,6.219782,6.748394,80,34.50105
27.5668055,192,8,20.89234,5.383142,6.556737,7.111125,80,34.50105
28.5771458,192,8,21.58495,5.64898,6.886776,7.461784,80,34.50105
29.5879979,190,10,22.27545,5.91959,7.215907,7.815396,80,34.50105
30.5991775,190,10,22.96441,6.197335,7.542921,8.171478,80,34.50105
31.6789133,177,23,23.66482,6.459955,7.876952,8.496186,80,34.64145
32.6896967,185,15,24.37215,6.720855,8.199421,8.814307,80,35.1873
33.6997144,189,11,25.07548,6.972746,8.522101,9.152908,80,35.8377
34.7105946,192,8,25.77437,7.216185,8.854899,9.501771,80,36.34739
35.7214618,192,8,26.46998,7.454854,9.2008,9.850189,80,36.70862
36.7320132,193,7,27.16634,7.690697,9.547575,10.19258,80,36.93449
37.7425914,194,6,27.85542,7.952244,9.899107,10.53178,80,37.0674
38.7534678,194,6,28.53682,8.224625,10.24506,10.89246,80,37.13213
39.7637503,196,4,29.22153,8.490502,10.58545,11.25566,80,37.16251
40.7736111,195,5,29.9059,8.75597,10.92391,11.62077,80,37.1787
41.784788,197,3,30.58974,9.024817,11.25939,11.98923,80,37.18641
42.7950185,196,4,31.27172,9.301492,11.59442,12.35706,80,37.18642
43.8060644,196,4,31.95367,9.58351,11.93008,12.71931,80,37.18642
44.8166984,194,6,32.63705,9.866703,12.26099,13.08373,80,37.18642
45.8273026,192,8,33.32167,10.14503,12.59264,13.44631,80,37.18642
46.9064077,184,16,34.02258,10.38793,12.91833,13.79874,80,37.32695
47.917354,181,19,34.72636,10.63711,13.23952,14.14006,80,37.75948
48.9273388,184,16,35.43501,10.87777,13.55582,14.47907,80,38.31596
49.9373783,189,11,36.14516,11.11169,13.86752,14.82602,80,38.80451
50.9488582,188,12,36.85084,11.356,14.18364,15.17214,80,39.18861
51.9585443,189,11,37.5584,11.59723,14.50003,15.5148,80,39.4736
52.9695171,189,11,38.26613,11.83996,14.81207,15.86095,80,39.68735
