Time Stamp (Sec),Total Connected Users,Total Disconnected Users,Average User Disconnection Time,Priority 1 User Average Connection Time,Priority 2 User Average Connection Time,Priority 3 User Average Connection Time,Active UAVs,Total UAVs Travel Distance
2.2576085,6,194,1.007068,0,0.009626406,0.01129778,75,1.08
3.2854421,12,188,2.015294,0.01113724,0.04056542,0.05411534,75,10.44336
4.3582542,23,177,3.014376,0.06412909,0.07431537,0.1251937,75,26.73225
5.3320555,38,162,3.921989,0.1535439,0.1343779,0.2738156,75,40.97639
6.3340368,62,138,4.747218,0.3512369,0.2523957,0.4955697,75,53.59342
7.3397131,86,114,5.463542,0.652266,0.4982381,0.8174003,75,63.93463
8.3540181,108,92,6.106421,1.001228,0.8270957,1.259012,75,71.91822
9.361919,132,68,6.659585,1.411372,1.24616,1.801116,75,77.29778
Time Stamp (Sec),Total Connected Users,Total Disconnected Users,Average User Disconnection Time,Priority 1 User Average Connection Time,Priority 2 User Average Connection Time,Priority 3 User Average Connection Time,Active UAVs,Total UAVs Travel Distance
2.2719817,0,200,1.025462,0,0,0,75,1.17
3.290041,7,193,2.031757,0.01060426,0.008500147,0.02352443,75,10.47139
4.3360513,13,187,2.994097,0.03281961,0.03270244,0.1017366,75,26.2993
5.2929352,25,175,3.912688,0.09916422,0.0948085,0.2277914,75,40.54235
6.3019709,58,142,4.75325,0.2628008,0.2562992,0.4047948,75,53.78487
7.3054884,84,116,5.484013,0.4949097,0.5400168,0.7044037,75,64.50803
8.3161942,102,98,6.140655,0.7826435,0.9315498,1.087743,75,72.69698
9.324977,134,66,6.708237,1.136455,1.356432,1.621598,75,78.50404
10.3412689,168,32,7.157646,1.616067,1.887335,2.301462,75,82.13045
11.3520429,186,14,7.526391,2.137104,2.534196,3.049305,75,84.11233
12.3651379,190,10,7.889376,2.640022,3.19124,3.829917,75,85.00191
13.3750129,192,8,8.250357,3.152142,3.861163,4.586193,75,85.19377
14.3883689,193,7,8.606537,3.676111,4.51484,5.360615,75,85.198
