Time Stamp (Sec),Total Connected Users,Total Disconnected Users,Average User Disconnection Time,Priority 1 User Average Connection Time,Priority 2 User Average Connection Time,Priority 3 User Average Connection Time,Active UAVs,Total UAVs Travel Distance
2.3646109,4,196,1.010173,0.001283915,0,0.0142682,75,1.17
3.3605499,7,193,1.99091,0.01905624,0,0.0528447,75,10.18972
4.3941319,15,185,2.969378,0.06403583,0.0174651,0.08787669,75,26.32317
5.3616399,35,165,3.902172,0.1380954,0.08380701,0.1796984,75,40.55017
6.3748621,57,143,4.766844,0.2653619,0.2132208,0.3610912,75,53.70744
7.3857237,97,103,5.491889,0.5348045,0.4463338,0.7053109,75,64.34776
8.3971874,124,76,6.101946,0.9397062,0.7892036,1.15824,75,72.57951
9.4079782,148,52,6.636878,1.418134,1.183714,1.705754,75,78.20294
10.4215907,169,31,7.079351,1.951563,1.693803,2.360839,75,81.58949
11.433018,183,17,7.454181,2.527992,2.290679,3.071537,75,83.51941
12.4444766,187,13,7.802981,3.133132,2.887114,3.832203,75,84.37849
13.4544133,188,12,8.144845,3.729004,3.509454,4.594417,75,84.59386
