Time Stamp (Sec),Total Connected Users,Total Disconnected Users,Average User Disconnection Time,Priority 1 User Average Connection Time,Priority 2 User Average Connection Time,Priority 3 User Average Connection Time,Active UAVs,Total UAVs Travel Distance
1.7625728,5,195,1.00659,0.005147791,0.005365864,0.006253193,75,1.08
3.6995528,10,190,2.025499,0.03024059,0.01911436,0.01413509,75,10.71692
4.7391195,23,177,3.002784,0.07141528,0.04656678,0.0471109,75,26.67847
5.7106414,30,170,3.947227,0.1522234,0.1175503,0.1076066,75,41.31583
6.7160157,49,151,4.820051,0.3022731,0.2535067,0.2159181,75,54.32826
7.7184714,80,120,5.5965,0.6062431,0.4402164,0.4012773,75,65.02044
8.7711495,118,82,6.266524,1.09334,0.7833083,0.7001113,75,73.54351
9.7915454,144,56,6.817309,1.577695,1.225492,1.15829,75,79.05969
10.7917464,168,32,7.268973,2.112097,1.788825,1.732134,75,82.29102
11.8030081,179,21,7.658106,2.64021,2.442028,2.432118,75,83.99805
12.8160243,184,16,8.036592,3.179008,3.089973,3.161347,75,84.67081
13.829159,185,15,8.415856,3.721029,3.752121,3.871539,75,84.80904
14.8420291,185,15,8.793537,4.281713,4.400188,4.579545,75,84.81039
15.8534339,185,15,9.171,4.82034,5.046976,5.311262,75,84.81039
16.8615464,185,15,9.547802,5.371706,5.694524,6.016428,75,84.81039
18.0528237,183,17,9.926477,5.920229,6.325774,6.716096,75,84.81039
19.0526933,183,17,10.2986,6.491766,6.942139,7.423958,75,84.81039
20.066288,184,16,10.67786,7.053296,7.591718,8.127952,75,84.81039
21.082062,184,16,11.06286,7.601045,8.223533,8.851305,75,84.81039
22.096273,184,16,11.44248,8.167873,8.860954,9.560463,75,84.81039
23.1044778,184,16,11.82386,8.734376,9.48632,10.26018,75,84.81039
24.1048887,184,16,12.20135,9.2783,10.12588,10.96212,75,84.81039
25.1215184,183,17,12.58419,9.8394,10.74871,11.68667,75,84.81039
26.1351919,182,18,12.97151,10.40675,11.34779,12.41483,75,84.81039
27.1508498,182,18,13.35952,10.96616,11.96199,13.13763,75,84.81039
28.1601861,183,17,13.7496,11.52276,12.55594,13.85767,75,84.81039
29.1754572,183,17,14.13672,12.09093,13.15085,14.59158,75,84.81039
30.187154,183,17,14.5276,12.64392,13.75175,15.3175,75,84.81039
31.2007887,182,18,14.91467,13.22138,14.33974,16.0394,75,84.81039
32.2051684,182,18,15.29955,13.77528,14.95171,16.74515,75,84.81039
33.4020234,176,24,15.70851,14.31531,15.50914,17.43734,75,85.09968
34.40828,177,23,16.12053,14.86007,16.04759,18.14809,75,86.16225
35.4186163,177,23,16.52946,15.38726,16.61484,18.87239,75,87.37594
36.4344863,183,17,16.93534,15.93072,17.18968,19.59858,75,88.4194
37.4392636,183,17,17.31713,16.47772,17.78183,20.34635,75,89.23477
38.4490428,184,16,17.69476,17.01814,18.40271,21.09531,75,89.8341
39.4594831,186,14,18.06932,17.57454,19.04357,21.82069,75,90.25775
