Time Stamp (Sec),Total Connected Users,Total Disconnected Users,Average User Disconnection Time,Priority 1 User Average Connection Time,Priority 2 User Average Connection Time,Priority 3 User Average Connection Time,Active UAVs,Total UAVs Travel Distance
1.5438155,3,197,1.010386,0.005786529,0,0,80,0.2400002
2.5537022,6,194,2.006106,0.02577336,0.01164949,0.01339086,80,2.217841
3.5644107,10,190,2.987233,0.05338478,0.04194174,0.04355459,80,6.151839
4.5750143,17,183,3.936246,0.09388673,0.08286466,0.1418255,80,11.24405
5.5859858,28,172,4.853024,0.1756866,0.1403369,0.2787291,80,16.07265
6.5962734,38,162,5.721226,0.319271,0.2285981,0.466832,80,20.31647
7.6070333,55,145,6.554031,0.4962024,0.3470979,0.6964309,80,23.81765
8.6178026,75,125,7.308067,0.7428418,0.5911914,0.9724301,80,26.7375
9.6281815,97,103,7.968367,1.0504,0.9587215,1.345972,80,28.98863
10.6385361,132,68,8.539277,1.414611,1.461146,1.79415,80,30.71647
11.6491953,162,38,8.995538,1.871118,2.027002,2.423636,80,31.91349
12.6591816,175,25,9.395967,2.387918,2.649704,3.103716,80,32.71009
13.6703995,179,21,9.800381,2.863942,3.271235,3.807369,80,33.15263
14.6810081,181,19,10.21542,3.319793,3.890879,4.502304,80,33.347
15.6916014,180,20,10.63047,3.777685,4.468899,5.231937,80,33.3914
16.7637483,165,35,11.06785,4.226095,5.049119,5.913855,80,33.46621
17.7747568,167,33,11.53059,4.640242,5.622514,6.553625,80,33.88622
18.7847428,168,32,11.98533,5.052263,6.202674,7.212212,80,34.48536
19.7953174,167,33,12.44087,5.488019,6.767292,7.861762,80,35.13402
20.8056546,166,34,12.88475,5.935063,7.349525,8.520206,80,35.67956
21.8163186,165,35,13.32251,6.403647,7.928121,9.177774,80,36.11769
22.8271796,164,36,13.74835,6.891489,8.534123,9.826033,80,36.47184
23.8383831,168,32,14.17228,7.37659,9.155676,10.4691,80,36.75575
24.8487327,172,28,14.58614,7.868425,9.76466,11.14603,80,36.97113
25.8686285,174,26,15.01278,8.381263,10.36898,11.79971,80,37.13951
26.8795006,178,22,15.43242,8.859115,10.99359,12.4587,80,37.25542
27.8898402,178,22,15.85666,9.346162,11.58298,13.12801,80,37.32558
28.901013,179,21,16.27832,9.847318,12.17516,13.79335,80,37.36346
29.9112521,179,21,16.7,10.32408,12.75193,14.48748,80,37.38276
30.9219563,181,19,17.11965,10.80137,13.3308,15.18866,80,37.39093
31.9966854,172,28,17.55683,11.26977,13.9066,15.85104,80,37.53136
33.0079727,175,25,17.99115,11.75298,14.47887,16.51056,80,38.07268
34.0177364,181,19,18.41753,12.26068,15.0423,17.17896,80,38.6667
35.0284222,185,15,18.83009,12.76492,15.64859,17.85159,80,39.1125
36.0387445,194,6,19.22303,13.30424,16.29428,18.51125,80,39.40577
37.0497498,190,10,19.6149,13.82637,16.94198,19.18784,80,39.58205
38.0612075,189,11,20.01103,14.37158,17.56082,19.85891,80,39.69075
39.0706334,189,11,20.41366,14.92247,18.18791,20.49882,80,39.74524
40.0809143,190,10,20.82542,15.43418,18.82936,21.13679,80,39.77083
41.0923724,189,11,21.24849,15.94802,19.43398,21.77119,80,39.7711
42.1025299,189,11,21.67374,16.45185,20.03326,22.41574,80,39.7711
43.1144447,190,10,22.09304,16.97719,20.64488,23.04986,80,39.7711
