Time Stamp (Sec),Total Connected Users,Total Disconnected Users,Average User Disconnection Time,Priority 1 User Average Connection Time,Priority 2 User Average Connection Time,Priority 3 User Average Connection Time,Active UAVs,Total UAVs Travel Distance
1.5317857,4,196,1.020015,0.01635452,0,0.007125132,80,0.2600001
2.5361013,4,196,2.011202,0.06154214,0,0.02502374,80,2.3379
3.6869901,11,189,3.003235,0.09064157,0.02573481,0.04704819,80,6.646793
4.5676845,15,185,3.976511,0.1399786,0.06960963,0.08443122,80,11.46821
5.567521,26,174,4.908147,0.2244231,0.133149,0.1600186,80,16.40432
6.576211,53,147,5.759366,0.3834088,0.2812481,0.3311505,80,20.75731
7.5909226,64,136,6.553113,0.6040391,0.4959151,0.568479,80,24.36603
8.5994549,84,116,7.274763,0.8788044,0.7817653,0.8667529,80,27.39034
9.6057112,109,91,7.908396,1.223312,1.173781,1.243985,80,29.73631
10.6085576,134,66,8.449158,1.658883,1.657049,1.700681,80,31.50947
11.6192687,155,45,8.912432,2.17488,2.215014,2.270173,80,32.78371
12.637098,169,31,9.314465,2.768934,2.847265,2.88124,80,33.60231
13.6411592,175,25,9.691762,3.338592,3.506609,3.524422,80,34.05885
14.6548265,179,21,10.06072,3.932052,4.198559,4.158318,80,34.26051
15.6673244,180,20,10.41985,4.50712,4.908627,4.810459,80,34.30499
16.6896814,167,33,10.80878,5.07503,5.582839,5.424703,80,34.37921
17.7049457,164,36,11.21435,5.641519,6.241713,6.004048,80,34.77571
18.7159102,169,31,11.60463,6.19047,6.924558,6.612908,80,35.26523
19.7218471,182,18,11.97423,6.745105,7.609896,7.271499,80,35.66349
20.733165,183,17,12.34303,7.281088,8.310236,7.944088,80,35.94804
21.7485466,182,18,12.72166,7.832487,8.975151,8.636948,80,36.12349
22.7493902,183,17,13.09126,8.353088,9.670577,9.295941,80,36.22634
23.7592533,183,17,13.46695,8.878615,10.34531,9.994269,80,36.27865
24.7717353,183,17,13.85225,9.399636,11.03088,10.65347,80,36.30831
25.7869666,184,16,14.23607,9.904114,11.72486,11.33071,80,36.32036
26.7888702,185,15,14.61341,10.3894,12.41918,12.00626,80,36.32253
27.8001213,184,16,14.99943,10.88187,13.09128,12.71082,80,36.32253
