Time Stamp (Sec),Total Connected Users,Total Disconnected Users,Average User Disconnection Time,Priority 1 User Average Connection Time,Priority 2 User Average Connection Time,Priority 3 User Average Connection Time,Active UAVs,Total UAVs Travel Distance
2.3643703,4,196,1.005925,0.008271507,0,0.005036993,75,1.08
3.3804096,7,193,1.996192,0.0365686,0.001065473,0.02697858,75,10.18406
5.5848794,19,181,2.989407,0.06203211,0.02531536,0.08743252,75,26.78222
6.5398316,30,170,3.916289,0.1394621,0.1006894,0.1872309,75,40.14794
7.5421216,57,143,4.763914,0.2873071,0.2430669,0.3616765,75,52.94731
8.5487766,90,110,5.488295,0.5458982,0.4868312,0.6961249,75,63.13139
9.5610689,120,80,6.097452,0.8885237,0.8438478,1.196566,75,70.77639
10.5713667,146,54,6.626647,1.311172,1.297048,1.762351,75,76.01885
11.583215,166,34,7.071522,1.827842,1.837319,2.395763,75,79.17182
12.5929063,180,20,7.46124,2.360195,2.437664,3.122808,75,80.84537
13.6042474,186,14,7.825017,2.891218,3.06489,3.899499,75,81.59907
14.6072345,186,14,8.183083,3.444435,3.686982,4.654966,75,81.79069
15.6209434,186,14,8.545441,3.97119,4.334541,5.432013,75,81.79491
16.6343153,186,14,8.905967,4.515305,4.984284,6.191696,75,81.79491
17.6438745,185,15,9.266686,5.045832,5.626188,6.96683,75,81.79491
