Time Stamp (Sec),Total Connected Users,Total Disconnected Users,Average User Disconnection Time,Priority 1 User Average Connection Time,Priority 2 User Average Connection Time,Priority 3 User Average Connection Time,Active UAVs,Total UAVs Travel Distance
2.0597601,4,196,1.001751,0.008521115,0.005461596,0,75,1.08
3.0566234,7,193,1.986848,0.03193611,0.02948433,0.00927166,75,9.925296
4.1144126,10,190,2.963543,0.06433479,0.06451835,0.03914594,75,25.94656
5.0709319,30,170,3.890314,0.1307176,0.1528435,0.1373777,75,40.22522
6.0843784,51,149,4.750659,0.2526247,0.3017,0.3372463,75,53.53075
7.0851627,80,120,5.5162,0.4715941,0.5329295,0.5974829,75,64.31484
8.0958956,109,91,6.178172,0.7673392,0.9413778,0.9357384,75,72.56273
Time Stamp (Sec),Total Connected Users,Total Disconnected Users,Average User Disconnection Time,Priority 1 User Average Connection Time,Priority 2 User Average Connection Time,Priority 3 User Average Connection Time,Active UAVs,Total UAVs Travel Distance
2.0384897,3,197,1.014813,0.01041368,0,0.005009216,75,1.17
3.0701,7,193,2.017041,0.04071438,0.01119573,0.02019515,75,10.45526
4.0908698,18,182,2.979803,0.09578783,0.03968134,0.06796295,75,26.26364
