Time Stamp (Sec),Total Connected Users,Total Disconnected Users,Average User Disconnection Time,Priority 1 User Average Connection Time,Priority 2 User Average Connection Time,Priority 3 User Average Connection Time,Active UAVs,Total UAVs Travel Distance
2.4044156,0,200,1.040003,0,0,0,80,0.2400002
4.173472,1,199,2.038003,0,0,0.005405406,80,2.218881
5.8679637,5,195,3.025495,0.00483871,0.0109375,0.02567568,80,6.095172
7.0139383,15,185,4.055845,0.02474184,0.05742329,0.0619207,80,11.35657
8.0095558,23,177,5.018865,0.08549855,0.1488414,0.1176264,80,16.28413
8.9964299,41,159,5.912585,0.2100224,0.286757,0.2071788,80,20.47192
10.0038748,61,139,6.721335,0.4093855,0.5459635,0.3672819,80,24.15621
11.0034257,87,113,7.432104,0.6786245,0.8894984,0.638153,80,27.11993
12.028234,108,92,8.071568,0.9925143,1.342435,1.021315,80,29.50029
13.0303806,129,71,8.627923,1.354481,1.853516,1.487033,80,31.25862
14.0353252,155,45,9.093642,1.835565,2.442457,2.035156,80,32.50648
15.0624971,177,23,9.475019,2.40728,3.107956,2.707815,80,33.35343
16.0597389,187,13,9.825035,2.954623,3.783983,3.431788,80,33.8254
17.0637552,189,11,10.16502,3.513973,4.485951,4.150305,80,34.05894
18.0674049,186,14,10.50278,4.075528,5.203382,4.859509,80,34.11679
19.0999165,184,16,10.84617,4.631011,5.894499,5.574127,80,34.16511
20.1073514,182,18,11.19173,5.180935,6.624537,6.270962,80,34.39247
21.1214047,182,18,11.55359,5.71268,7.319094,6.987922,80,34.70119
22.135553,185,15,11.90342,6.253064,8.022075,7.706325,80,34.97924
23.1292226,184,16,12.24507,6.813672,8.714908,8.418426,80,35.17995
24.1385228,182,18,12.59683,7.361038,9.402201,9.13992,80,35.32932
25.1547185,184,16,12.95171,7.943591,10.06972,9.859723,80,35.43412
26.1600619,185,15,13.30607,8.47171,10.74644,10.594,80,35.50517
27.1757696,184,16,13.66884,9.020327,11.42692,11.31212,80,35.55128
28.1902811,184,16,14.03406,9.597266,12.11009,11.99348,80,35.57822
29.1985395,184,16,14.39949,10.16222,12.76956,12.6784,80,35.58839
30.2064131,184,16,14.76503,10.76272,13.40193,13.36552,80,35.58895
31.2092924,184,16,15.13097,11.33799,14.05052,14.04784,80,35.58895
32.2091797,184,16,15.505,11.89221,14.67136,14.73996,80,35.58895
33.230705,185,15,15.88289,12.44333,15.32074,15.45052,80,35.58895
34.2582694,177,23,16.27863,12.9639,15.96032,16.11126,80,35.68735
