Time Stamp (Sec),Total Connected Users,Total Disconnected Users,Average User Disconnection Time,Priority 1 User Average Connection Time,Priority 2 User Average Connection Time,Priority 3 User Average Connection Time,Active UAVs,Total UAVs Travel Distance
1.5522343,3,197,1.007904,0.01023887,0.005268069,0,80,0.2600001
2.544329,4,196,1.993007,0.04444435,0.01851341,0,80,2.217841
3.5554724,11,189,2.976616,0.09327637,0.03610627,0.01187574,80,6.16212
4.571471,21,179,3.947997,0.1725115,0.06599471,0.03596128,80,11.34597
5.5730923,31,169,4.877168,0.2743787,0.1155754,0.1174968,80,16.30783
6.5852131,38,162,5.774026,0.3938897,0.2255349,0.2375951,80,20.60859
7.5983474,58,142,6.597849,0.5593294,0.447365,0.4115061,80,24.32265
8.6094985,77,123,7.361335,0.7768057,0.72703,0.6560046,80,27.32454
9.623621,106,94,8.0322,1.081383,1.110113,0.9943328,80,29.76211
10.6351614,142,58,8.586618,1.496782,1.629032,1.423642,80,31.60254
11.6425657,172,28,9.029927,1.994977,2.224612,2.019414,80,32.89175
12.6455175,184,16,9.430645,2.482818,2.892595,2.673151,80,33.73797
