Time Stamp (Sec),Total Connected Users,Total Disconnected Users,Average User Disconnection Time,Priority 1 User Average Connection Time,Priority 2 User Average Connection Time,Priority 3 User Average Connection Time,Active UAVs,Total UAVs Travel Distance
1.6461483,4,196,0.9949237,0.01394996,0,0.005688836,80,0.2207998
2.6572938,8,192,1.982921,0.05255171,0,0.02892735,80,2.217841
3.6664389,11,189,2.95875,0.09004664,0.04447504,0.05266817,80,6.059733
4.6772768,21,179,3.909159,0.1507087,0.1195268,0.101145,80,11.15494
5.6882453,32,168,4.814631,0.2477604,0.2512022,0.1931776,80,16.10411
6.6988732,46,154,5.677396,0.3618849,0.4329746,0.3478746,80,20.28953
7.7092588,64,136,6.469984,0.5010089,0.7272825,0.5923251,80,23.88627
8.7204583,83,117,7.206154,0.6847749,1.082951,0.8993098,80,26.77354
9.7302841,110,90,7.850536,0.9462084,1.558621,1.292072,80,29.0941
10.7408922,142,58,8.408623,1.310947,2.064032,1.797257,80,30.81159
11.7513314,165,35,8.875882,1.752801,2.70432,2.373123,80,32.05536
12.7618274,179,21,9.281308,2.276366,3.349579,3.036689,80,32.84427
13.7723389,185,15,9.672174,2.81852,4.013905,3.707411,80,33.29874
14.7824017,189,11,10.05331,3.380902,4.651286,4.407645,80,33.49545
15.7937573,188,12,10.43681,3.921921,5.294791,5.115804,80,33.5429
16.8213829,169,31,10.85198,4.440691,5.91312,5.781657,80,33.62763
17.8321968,173,27,11.28047,4.956361,6.508825,6.42825,80,34.09996
18.8426485,179,21,11.70136,5.477091,7.095074,7.097232,80,34.65406
19.8531254,189,11,12.10113,6.026645,7.676055,7.802876,80,35.13011
20.8643877,186,14,12.48931,6.561973,8.337724,8.491132,80,35.46279
21.8742569,188,12,12.87809,7.089269,8.972235,9.210495,80,35.66278
22.8853741,188,12,13.26222,7.616885,9.611954,9.936326,80,35.78477
23.8958094,191,9,13.64113,8.162751,10.23681,10.67094,80,35.87007
24.9061434,189,11,14.01948,8.73144,10.86682,11.37686,80,35.93987
25.9171967,188,12,14.40698,9.292744,11.48582,12.07343,80,35.99153
26.9280724,187,13,14.79617,9.848022,12.10437,12.77221,80,36.02719
Time Stamp (Sec),Total Connected Users,Total Disconnected Users,Average User Disconnection Time,Priority 1 User Average Connection Time,Priority 2 User Average Connection Time,Priority 3 User Average Connection Time,Active UAVs,Total UAVs Travel Distance
1.216418,3,197,1.008762,0.009760112,0,0.006145732,80,0.2400002
2.2275842,5,195,2.001147,0.04653369,0,0.02218143,80,2.277478
3.2374291,11,189,2.981669,0.09354199,0.002290356,0.06065102,80,6.170618
4.2481254,17,183,3.933992,0.1705015,0.0252231,0.1338618,80,11.36083
5.2596569,26,174,4.858845,0.2788768,0.05251461,0.2568753,80,16.33019
6.2693692,40,160,5.733535,0.4354281,0.1325116,0.4242853,80,20.71837
7.2795641,62,138,6.540848,0.6777876,0.2773609,0.6445785,80,24.36151
