Time Stamp (Sec),Total Connected Users,Total Disconnected Users,Average User Disconnection Time,Priority 1 User Average Connection Time,Priority 2 User Average Connection Time,Priority 3 User Average Connection Time,Active UAVs,Total UAVs Travel Distance
2.3508739,4,196,1.01028,0.004889193,0.005423887,0.01025352,75,1.08
3.3539113,6,194,1.996075,0.02955739,0.01914509,0.03852117,75,10.1854
4.4327882,20,180,2.972053,0.06334665,0.05620613,0.08145888,75,25.76306
5.3927733,40,160,3.880014,0.1381036,0.1555251,0.1914444,75,39.6027
6.3927666,67,133,4.692729,0.2623082,0.3705727,0.4094537,75,51.99529
