Time Stamp (Sec),Total Connected Users,Total Disconnected Users,Average User Disconnection Time,Priority 1 User Average Connection Time,Priority 2 User Average Connection Time,Priority 3 User Average Connection Time,Active UAVs,Total UAVs Travel Distance
1.5789937,4,196,1.001508,0.001274803,0.005625352,0.002028384,80,0.2400002
2.5912702,6,194,2.006467,0.0051867,0.02092653,0.006265458,80,2.217841
3.6011428,13,187,3.001554,0.01474602,0.03985668,0.02397864,80,6.1516
4.6120965,20,180,3.987849,0.0266168,0.07593985,0.0504791,80,11.13568
5.6224543,38,162,4.949152,0.05039777,0.1478164,0.1017654,80,16.04793
6.6334813,61,139,5.870891,0.09672195,0.2792489,0.1913231,80,20.19695
7.6450444,81,119,6.748788,0.1913189,0.4687061,0.3093615,80,23.75681
8.6541858,99,101,7.589401,0.326887,0.6850637,0.4702897,80,26.60812
9.6648456,121,79,8.389604,0.5145436,0.9379401,0.6645352,80,28.89243
10.674997,149,51,9.149609,0.7488073,1.21324,0.908483,80,30.57527
11.685892,171,29,9.858917,1.046931,1.52167,1.206554,80,31.784
12.6961771,182,18,10.54455,1.367229,1.850678,1.532805,80,32.54339
13.7113564,184,16,11.22117,1.70161,2.199371,1.865029,80,32.98003
14.7218806,184,16,11.89829,2.026415,2.538787,2.201181,80,33.17724
15.7322134,183,17,12.57584,2.356098,2.872389,2.536348,80,33.22452
16.8237736,168,32,13.27134,2.665081,3.191038,2.855296,80,33.30942
17.834268,178,22,13.9784,2.95826,3.509736,3.155021,80,33.74782
18.8453257,184,16,14.68856,3.242583,3.838544,3.447557,80,34.32338
19.8556398,185,15,15.38869,3.534096,4.176209,3.752306,80,34.83732
20.8661576,185,15,16.08558,3.819144,4.520111,4.064459,80,35.22816
21.8762709,184,16,16.77524,4.111032,4.86366,4.391477,80,35.49187
22.8875482,184,16,17.46119,4.404904,5.210357,4.724196,80,35.69019
23.8979885,183,17,18.14637,4.700685,5.555789,5.060711,80,35.83296
24.9090177,182,18,18.83481,4.993613,5.895869,5.391878,80,35.93226
25.9189946,180,20,19.53558,5.267518,6.219224,5.72103,80,35.99884
26.9294577,179,21,20.23797,5.544799,6.537236,6.047322,80,36.03861
27.9407702,179,21,20.93794,5.832072,6.852349,6.373919,80,36.05373
28.9517382,181,19,21.63303,6.120078,7.184129,6.703419,80,36.05924
29.9624677,180,20,22.32383,6.415823,7.523421,7.027841,80,36.05924
30.9726538,178,22,23.01906,6.709746,7.863389,7.34035,80,36.05924
