Time Stamp (Sec),Total Connected Users,Total Disconnected Users,Average User Disconnection Time,Priority 1 User Average Connection Time,Priority 2 User Average Connection Time,Priority 3 User Average Connection Time,Active UAVs,Total UAVs Travel Distance
2.1550025,0,200,1.023986,0,0,0,75,1.17
3.1804067,1,199,2.028589,0,0.01211785,0,75,10.48445
4.7777793,10,190,3.087775,0.01269841,0.04443135,0.01052632,75,28.06311
5.6993159,23,177,4.018943,0.09970148,0.1182566,0.07725856,75,41.76555
6.7056444,58,142,4.86381,0.2698581,0.2522148,0.2548126,75,54.7602
7.7063061,83,117,5.61099,0.5314689,0.4578526,0.5393001,75,65.42638
8.7061104,113,87,6.257176,0.8145596,0.8150674,0.951335,75,73.47977
9.7072015,143,57,6.798473,1.195362,1.322546,1.435623,75,79.07957
10.7181039,166,34,7.238124,1.689433,1.984072,1.998389,75,82.44754
11.7283379,178,22,7.610699,2.240066,2.711129,2.636414,75,84.29134
12.7305487,186,14,7.965914,2.781905,3.426094,3.316496,75,85.07658
13.7413714,189,11,8.312398,3.367032,4.158895,3.991311,75,85.26527
14.7510918,189,11,8.655106,3.934332,4.899351,4.682794,75,85.26888
