Time Stamp (Sec),Total Connected Users,Total Disconnected Users,Average User Disconnection Time,Priority 1 User Average Connection Time,Priority 2 User Average Connection Time,Priority 3 User Average Connection Time,Active UAVs,Total UAVs Travel Distance
2.0311288,3,197,1.016231,0.005316229,0,0.00966798,75,1.08
Time Stamp (Sec),Total Connected Users,Total Disconnected Users,Average User Disconnection Time,Priority 1 User Average Connection Time,Priority 2 User Average Connection Time,Priority 3 User Average Connection Time,Active UAVs,Total UAVs Travel Distance
2.0590852,5,195,1.01491,0,0.006080883,0.01090473,75,1.2636
3.0898348,10,190,2.029322,0.01130313,0.04052694,0.04302062,75,10.71096
4.1271871,18,182,2.998885,0.01586029,0.1257112,0.1033231,75,26.54856
5.1066274,41,159,3.889762,0.08156633,0.2771871,0.2411318,75,40.39702
6.1171892,64,136,4.705565,0.2192634,0.5021329,0.467281,75,52.40402
7.1274519,95,105,5.412734,0.4156877,0.8605195,0.8307518,75,62.17366
8.1379826,122,78,6.023458,0.6930578,1.326532,1.296307,75,69.2045
9.1489358,144,56,6.532864,1.071813,1.871963,1.884396,75,73.9439
10.1600356,164,36,6.979149,1.523681,2.462787,2.542107,75,76.68848
11.1704714,176,24,7.376247,2.047474,3.083703,3.24115,75,78.1621
12.1807425,183,17,7.748058,2.540521,3.74797,4.008143,75,78.7908
13.1913308,183,17,8.119548,3.053226,4.390904,4.775631,75,78.95084
14.2016662,183,17,8.492022,3.54672,5.046914,5.550069,75,78.95319
