Time Stamp (Sec),Total Connected Users,Total Disconnected Users,Average User Disconnection Time,Priority 1 User Average Connection Time,Priority 2 User Average Connection Time,Priority 3 User Average Connection Time,Active UAVs,Total UAVs Travel Distance
2.3852449,6,194,1.006368,0,0,0.01514161,75,1.17
3.3829297,10,190,1.988041,0.009258902,0.01726005,0.05713354,75,9.915888
4.435343,19,181,2.967918,0.04099545,0.03905565,0.1358539,75,25.71089
5.4110417,34,166,3.883795,0.1346413,0.09468518,0.2696167,75,39.79188
6.4257844,58,142,4.727585,0.2631345,0.2721489,0.4783335,75,52.33646
7.4435729,91,109,5.448023,0.5301965,0.5807309,0.7922246,75,62.40272
8.4546287,119,81,6.076851,0.9059666,0.9596899,1.18105,75,69.68843
9.4672046,149,51,6.607423,1.338858,1.447199,1.707911,75,74.63132
10.4801664,164,36,7.062855,1.831021,2.059243,2.281187,75,77.51231
11.4930168,171,29,7.472271,2.356133,2.713697,2.916851,75,79.0626
12.507164,173,27,7.875699,2.877182,3.37483,3.567905,75,79.6918
13.5167864,174,26,8.278192,3.388115,4.019901,4.238574,75,79.82099
14.5281384,174,26,8.680034,3.893095,4.665806,4.913959,75,79.82325
15.5409391,174,26,9.083089,4.39957,5.333871,5.572151,75,79.82325
16.5545187,174,26,9.486572,4.919765,5.992941,6.225922,75,79.82325
17.609878,174,26,9.891831,5.432555,6.652425,6.884707,75,79.82325
18.6195829,174,26,10.29732,5.939606,7.304337,7.541811,75,79.82325
19.6313852,174,26,10.70304,6.459573,7.949222,8.193571,75,79.82325
20.6403138,173,27,11.10546,6.980141,8.584476,8.862291,75,79.82325
21.6512529,173,27,11.51321,7.488523,9.235127,9.51446,75,79.82325
22.6633598,173,27,11.92111,8.003531,9.894372,10.15656,75,79.82325
23.6750915,174,26,12.32899,8.50169,10.52939,10.83428,75,79.82325
24.6850758,175,25,12.73725,9.022375,11.14983,11.49777,75,79.82325
25.6959875,174,26,13.1453,9.544086,11.79099,12.14516,75,79.82325
26.7063396,174,26,13.55031,10.07715,12.4449,12.78078,75,79.82325
27.7199101,172,28,13.95541,10.60451,13.08008,13.44178,75,79.82325
28.7349941,171,29,14.36813,11.13165,13.70742,14.09417,75,79.82325
29.746946,171,29,14.77759,11.666,14.3167,14.75615,75,79.82325
30.7606409,172,28,15.18788,12.19096,14.94436,15.41417,75,79.82325
31.7599829,173,27,15.59752,12.69686,15.55273,16.07053,75,79.82325
32.8172809,171,29,16.02055,13.18515,16.18137,16.71972,75,80.02989
33.8295617,170,30,16.44872,13.69084,16.79594,17.34871,75,80.77318
34.8393777,172,28,16.87388,14.19789,17.40855,17.98652,75,81.56541
35.8502721,175,25,17.286,14.73899,18.02184,18.62967,75,82.16819
36.8615711,180,20,17.68984,15.26154,18.67101,19.28108,75,82.57562
37.8722289,182,18,18.08308,15.80027,19.29044,19.97143,75,82.82459
38.8823725,182,18,18.47275,16.35319,19.90694,20.66123,75,82.92746
39.8926653,182,18,18.86524,16.90342,20.51559,21.35237,75,82.94901
40.9035836,180,20,19.26112,17.46117,21.12755,22.02392,75,82.94901
41.9145251,180,20,19.65997,18.01868,21.74511,22.68329,75,82.94901
42.9248352,180,20,20.062,18.58151,22.3411,23.34581,75,82.94901
43.9356075,181,19,20.45957,19.14127,22.9564,24.00828,75,82.94901
44.9454611,180,20,20.85684,19.69676,23.57259,24.67444,75,82.94901
45.9567741,180,20,21.25942,20.24667,24.18508,25.33459,75,82.94901
46.9667552,180,20,21.65648,20.8093,24.8018,25.99371,75,82.94901
48.029144,179,21,22.04756,21.38874,25.42234,26.65321,75,83.18373
49.0396324,179,21,22.44406,21.96752,26.02478,27.3125,75,83.73169
