Time Stamp (Sec),Total Connected Users,Total Disconnected Users,Average User Disconnection Time,Priority 1 User Average Connection Time,Priority 2 User Average Connection Time,Priority 3 User Average Connection Time,Active UAVs,Total UAVs Travel Distance
1.5310805,5,195,1.001736,0,0.002841248,0.005418085,80,0.2400002
2.5416704,7,193,2.004808,0.0005103415,0.009123957,0.02045893,80,2.217841
3.5514044,12,188,2.999489,0.005837449,0.0191713,0.05339512,80,6.173319
4.5623501,17,183,3.986444,0.01118622,0.03516369,0.09634494,80,11.22413
5.5726496,26,174,4.9663,0.02466015,0.06308024,0.1437472,80,16.20111
6.5840966,42,158,5.914814,0.08089216,0.1139885,0.2182991,80,20.41327
7.5942494,66,134,6.81561,0.1966448,0.2310828,0.3186955,80,24.03793
8.6049694,96,104,7.662645,0.3674543,0.4047365,0.4672506,80,26.94753
9.6150976,122,78,8.465631,0.5915176,0.6224513,0.6538743,80,29.28151
10.6254711,147,53,9.225645,0.8538785,0.8852322,0.8846549,80,30.98737
11.6364909,168,32,9.932696,1.17362,1.2013,1.165018,80,32.19279
12.6470759,181,19,10.61749,1.498432,1.538021,1.484895,80,32.95074
13.6596619,184,16,11.29153,1.831486,1.884617,1.822047,80,33.38506
14.6696257,187,13,11.9588,2.165489,2.242028,2.161875,80,33.575
15.6814506,188,12,12.63182,2.490247,2.590322,2.503068,80,33.61505
16.7730992,166,34,13.32866,2.787753,2.905947,2.829133,80,33.74747
17.7836781,176,24,14.04498,3.074372,3.184555,3.142915,80,34.43116
18.7938844,173,27,14.75223,3.355309,3.489158,3.46282,80,35.27079
19.8051733,177,23,15.47827,3.626684,3.774964,3.758413,80,35.93112
20.8158326,187,13,16.18402,3.90452,4.082794,4.08284,80,36.39924
21.8266347,188,12,16.87229,4.192181,4.401155,4.437337,80,36.67109
22.8372372,187,13,17.55919,4.476776,4.717785,4.799278,80,36.84135
23.847014,185,15,18.24688,4.756855,5.034203,5.163156,80,36.93527
24.8581916,185,15,18.93688,5.022441,5.354285,5.532086,80,36.99031
25.8683265,186,14,19.63344,5.284954,5.666523,5.889678,80,37.03041
26.8788723,186,14,20.33095,5.540008,5.979847,6.251348,80,37.06271
27.889396,189,11,21.02777,5.796171,6.292664,6.61455,80,37.08598
28.9002932,189,11,21.72218,6.041257,6.623915,6.979729,80,37.10138
29.910905,190,10,22.41378,6.288289,6.965748,7.342707,80,37.10773
30.9222252,186,14,23.10314,6.540872,7.299368,7.711854,80,37.10773
32.0058395,169,31,23.79576,6.798436,7.62659,8.07615,80,37.23253
33.0164905,167,33,24.50615,7.050658,7.933333,8.411196,80,37.69455
34.0272339,169,31,25.21901,7.301664,8.23573,8.746218,80,38.20219
35.0373931,169,31,25.93061,7.561774,8.527672,9.08223,80,38.63635
36.0482918,183,17,26.62677,7.832769,8.844047,9.431456,80,38.95464
37.0591075,186,14,27.31203,8.102618,9.167602,9.805286,80,39.16761
38.0686504,188,12,27.99678,8.372018,9.494053,10.17782,80,39.34136
39.0800051,187,13,28.67777,8.659018,9.820434,10.54707,80,39.47635
40.0899528,187,13,29.36397,8.938015,10.14324,10.91067,80,39.58356
41.1007696,189,11,30.04468,9.218783,10.47261,11.2821,80,39.66387
42.1116424,188,12,30.71673,9.517569,10.81094,11.65343,80,39.72859
43.1212472,187,13,31.38996,9.824655,11.14402,12.02169,80,39.77523
44.1329948,184,16,32.06524,10.12308,11.47994,12.38547,80,39.80577
