Time Stamp (Sec),Total Connected Users,Total Disconnected Users,Average User Disconnection Time,Priority 1 User Average Connection Time,Priority 2 User Average Connection Time,Priority 3 User Average Connection Time,Active UAVs,Total UAVs,Travel Distance
1.2351101,4,196,0.9984217,0.01289467,0,0.0132626,80,0.2400002
2.233107,5,195,1.986873,0.0430764,0.001385351,0.04377074,80,2.217841
3.2447742,7,193,2.970584,0.07331224,0.01495411,0.07994628,80,6.168919
4.2547706,13,187,3.939719,0.1158908,0.03820634,0.1411232,80,11.22381
5.2653699,23,177,4.857742,0.2029246,0.1534412,0.2137747,80,16.23754
6.2754382,33,167,5.737506,0.3146636,0.3202419,0.3225809,80,20.48703
7.286129,52,148,6.544237,0.4652001,0.588062,0.5098506,80,24.14859
8.2970333,77,123,7.241716,0.6930269,0.9764379,0.8200879,80,27.09385
9.3076418,100,100,7.823485,1.046261,1.460394,1.261322,80,29.46464
10.3177286,115,85,8.317842,1.487144,2.006747,1.816311,80,31.21319
