Time Stamp (Sec),Total Connected Users,Total Disconnected Users,Average User Disconnection Time,Priority 1 User Average Connection Time,Priority 2 User Average Connection Time,Priority 3 User Average Connection Time,Active UAVs,Total UAVs Travel Distance
1.5698551,0,200,1.000848,0,0,0,50,1.08
2.5851639,2,198,2.00574,0.007007961,0,0.002348607,50,10.17663
3.5746973,10,190,2.97936,0.04960779,0.03121411,0.02230775,50,25.15688
4.5754812,24,176,3.903065,0.1232302,0.1266631,0.08210807,50,39.22865
5.5808597,42,158,4.789072,0.2448325,0.2664104,0.1769365,50,51.13097
6.580664,71,129,5.577384,0.4329125,0.5084962,0.3786386,50,60.51551
7.5868211,97,103,6.284025,0.6885188,0.8547946,0.6657546,50,67.34514
8.5877049,120,80,6.925913,0.9640641,1.245961,1.067176,50,71.87968
9.5896616,132,68,7.514434,1.277779,1.671421,1.558998,50,74.5166
10.596282,137,63,8.072871,1.616348,2.134625,2.091428,50,75.81534
11.5991149,139,61,8.614604,1.969598,2.618497,2.627015,50,76.27118
12.6004663,139,61,9.154416,2.323529,3.107404,3.157729,50,76.34958
13.6040715,139,61,9.695686,2.679309,3.578952,3.709833,50,76.34958
14.6059681,139,61,10.23587,3.025652,4.072338,4.24368,50,76.34958
15.6119823,139,61,10.77774,3.389185,4.546634,4.787677,50,76.34958
16.6154793,0,200,11.52046,3.585018,4.82825,5.084686,50,77.05721
17.6196175,83,117,12.43758,3.635648,4.922298,5.198298,50,81.85788
18.6245325,76,124,13.19164,3.818851,5.176684,5.508344,50,88.82516
19.6260652,77,123,13.96857,4.005116,5.428557,5.740865,50,94.85193
20.6318738,76,124,14.72973,4.195505,5.695882,6.006859,50,99.55495
21.632111,86,114,15.4938,4.384117,5.950142,6.268121,50,102.8793
22.6373197,128,72,16.17231,4.711402,6.283929,6.585726,50,105.091
23.6452119,135,65,16.74473,5.126788,6.736727,7.011512,50,106.378
24.6469262,138,62,17.29947,5.557108,7.223493,7.437776,50,107.076
