Time Stamp (Sec),Total Connected Users,Total Disconnected Users,Average User Disconnection Time,Priority 1 User Average Connection Time,Priority 2 User Average Connection Time,Priority 3 User Average Connection Time,Active UAVs,Total UAVs Travel Distance
1.111663,4,196,0.9952554,0.006210764,0,0.01575506,25,1.08
2.113242,10,190,1.974118,0.01015858,0.007814032,0.08107474,25,9.795888
3.1125973,13,187,2.936786,0.01689216,0.02240849,0.1827196,25,24.03131
4.1142007,19,181,3.874949,0.04345884,0.04082998,0.337505,25,37.38933
5.1175262,28,172,4.781378,0.08801463,0.1097661,0.529242,25,48.63977
6.1202307,44,156,5.657915,0.1445598,0.2352093,0.7439768,25,57.66309
7.1296683,52,148,6.49329,0.2573383,0.4022454,0.9983808,25,64.58876
8.133217,59,141,7.303389,0.4061408,0.5781969,1.270498,25,69.27322
9.1347111,66,134,8.087732,0.5926072,0.76291,1.563002,25,72.16805
10.1368846,70,130,8.860656,0.7841415,0.9668852,1.865641,25,73.68378
11.1397974,72,128,9.626817,0.9895445,1.160465,2.19126,25,74.38074
12.1409797,72,128,10.38903,1.191926,1.366882,2.511009,25,74.60033
13.1434531,72,128,11.15176,1.401615,1.56707,2.828902,25,74.61272
14.1462205,72,128,11.91525,1.618138,1.758641,3.148177,25,74.61272
15.1469753,73,127,12.67706,1.814667,1.971927,3.466825,25,74.61272
16.1477474,73,127,13.43907,2.0184,2.178555,3.784451,25,74.61272
17.1477883,73,127,14.20077,2.217572,2.389712,4.101571,25,74.61272
18.1493052,73,127,14.96412,2.41394,2.597218,4.424658,25,74.61272
19.1515857,73,127,15.73258,2.611508,2.79775,4.743151,25,74.61272
20.1555405,73,127,16.50103,2.792104,3.010116,5.069026,25,74.61272
21.1599644,72,128,17.27057,2.991692,3.207705,5.387742,25,74.61272
22.1616437,72,128,18.03853,3.188138,3.406657,5.707133,25,74.61272
23.1633102,72,128,18.80638,3.392467,3.600518,6.021752,25,74.61272
24.1666382,72,128,19.57496,3.593301,3.789942,6.346551,25,74.61272
25.1713478,72,128,20.34498,3.790645,3.986106,6.669569,25,74.61272
26.1769706,72,128,21.1158,3.983211,4.184213,6.997255,25,74.61272
27.1793895,71,129,21.88409,4.185117,4.386085,7.30638,25,74.61272
28.179767,71,129,22.65081,4.389788,4.580405,7.618902,25,74.61272
29.1815378,71,129,23.422,4.591582,4.778073,7.921785,25,74.61272
30.1839276,71,129,24.19517,4.79494,4.97789,8.214519,25,74.61272
31.1899256,63,137,24.98761,4.996969,5.150321,8.486854,25,74.83044
32.1906782,63,137,25.79293,5.193068,5.326347,8.705859,25,76.32228
33.1913922,64,136,26.59507,5.388375,5.52086,8.910542,25,78.50734
34.1915452,64,136,27.39701,5.5901,5.723478,9.101584,25,80.37891
35.1977247,64,136,28.20233,5.793242,5.921052,9.300235,25,81.88731
36.1984991,64,136,29.00527,5.996563,6.118144,9.495068,25,82.96442
37.2024295,63,137,29.80902,6.200321,6.311238,9.694869,25,83.68443
38.2043375,69,131,30.59576,6.415861,6.530833,9.903678,25,84.0787
39.2041444,68,132,31.36789,6.663039,6.750851,10.11616,25,84.34725
40.2042212,68,132,32.1398,6.899178,6.980302,10.3327,25,84.49687
41.2047091,67,133,32.91233,7.139407,7.216598,10.53637,25,84.52884
42.2055518,67,133,33.68542,7.385491,7.441961,10.74411,25,84.52884
43.2084028,67,133,34.45934,7.62347,7.679554,10.95008,25,84.52884
44.2109975,66,134,35.23828,7.853465,7.917509,11.15228,25,84.52884
45.2136376,66,134,36.01751,8.082434,8.147159,11.3622,25,84.52884
46.2139963,6,194,36.86069,8.222881,8.334275,11.50735,25,85.05501
47.2145489,8,192,37.84472,8.226258,8.341226,11.55052,25,87.77705
48.215039,8,192,38.82629,8.228905,8.341984,11.61268,25,90.0112
49.2223481,8,192,39.8126,8.229662,8.349754,11.67006,25,91.18638
50.2248913,66,134,40.64986,8.364987,8.519973,11.86882,25,91.553
51.2303519,66,134,41.43075,8.553707,8.756114,12.1246,25,91.7919
52.2318638,66,134,42.20864,8.740505,8.985459,12.38871,25,91.91214
53.2362786,66,134,42.98957,8.932235,9.212021,12.64598,25,91.92567
54.2380325,66,134,43.77322,9.114775,9.431181,12.90946,25,91.92567
55.2414421,66,134,44.55798,9.30258,9.653306,13.16504,25,91.92567
56.2445895,65,135,45.34473,9.479786,9.866896,13.42916,25,91.92567
57.2481398,65,135,46.13545,9.65971,10.08465,13.6818,25,91.92567
58.2496448,66,134,46.92311,9.824307,10.31688,13.93695,25,91.92567
59.2551912,66,134,47.71287,10.00064,10.53119,14.19936,25,91.92567
60.263937,66,134,48.50694,10.17841,10.75137,14.45641,25,91.92567
61.2671673,51,149,49.32762,10.32529,10.94973,14.66907,25,92.42564
62.2685673,55,145,50.16163,10.46714,11.11279,14.87257,25,95.05294
63.2718071,0,200,51.0113,10.60262,11.26495,15.04708,24,98.20178
64.2786522,0,200,52.01748,10.60262,11.26495,15.04708,24,100.8292
65.2788542,0,200,53.01857,10.60262,11.26495,15.04708,24,102.6475
66.2794723,0,200,54.01978,10.60262,11.26495,15.04708,24,103.687
67.2806071,0,200,55.02004,10.60262,11.26495,15.04708,24,104.2305
68.2851185,0,200,56.02449,10.60262,11.26495,15.04708,24,104.6838
69.2890102,0,200,57.02835,10.60262,11.26495,15.04708,24,105.4225
70.2931777,0,200,58.03341,10.60262,11.26495,15.04708,22,111.6864
71.2951001,0,200,59.0342,10.60262,11.26495,15.04708,19,125.2517
72.2953435,0,200,60.03458,10.60262,11.26495,15.04708,17,139.6581
73.2987354,0,200,61.0379,10.60262,11.26495,15.04708,12,152.3642
74.2995103,0,200,62.03961,10.60262,11.26495,15.04708,11,162.9803
75.3041433,0,200,63.04322,10.60262,11.26495,15.04708,11,170.0754
76.31048,8,192,64.03012,10.61117,11.26495,15.10083,9,174.8615
77.3107514,0,200,65.00737,10.63413,11.28015,15.13351,6,180.1695
78.3194129,8,192,66.0042,10.64208,11.28067,15.16294,4,184.4155
79.3244103,0,200,66.99229,10.65492,11.28844,15.19334,3,187.7533
80.3244792,0,200,67.9934,10.65492,11.28844,15.19334,3,190.0937
81.3313824,0,200,68.99904,10.65492,11.28844,15.19334,3,191.6389
82.33129,0,200,70,10.65492,11.28844,15.19334,3,192.452
83.3350147,0,200,71.00378,10.65492,11.28844,15.19334,1,192.8393
84.3374289,0,200,72.00496,10.65492,11.28844,15.19334,1,193.6731
85.3381623,0,200,73.00671,10.65492,11.28844,15.19334,1,194.7173
86.3419995,0,200,74.00957,10.65492,11.28844,15.19334,1,195.8384
87.344591,0,200,75.01308,10.65492,11.28844,15.19334,1,196.8723
88.347049,0,200,76.0144,10.65492,11.28844,15.19334,1,197.5572
89.3475178,0,200,77.01505,10.65492,11.28844,15.19334,1,197.9031
90.3507937,0,200,78.0183,10.65492,11.28844,15.19334,1,198.0927
91.3533464,6,194,79.01475,10.65492,11.28844,15.21653,1,198.2511
92.3568471,6,194,80.00742,10.66085,11.29618,15.23414,1,198.465
93.3573132,6,194,80.99873,10.66166,11.29905,15.2634,1,198.5584
94.3590096,6,194,81.99022,10.66166,11.3039,15.29154,1,198.5599
95.3632279,6,194,82.98351,10.66855,11.31033,15.3094,1,198.5599
96.3655521,6,194,83.97584,10.67066,11.3117,15.33869,1,198.5599
97.3692156,6,194,84.96951,10.67194,11.31948,15.36212,1,198.5599
98.3701124,6,194,85.96046,10.67531,11.3272,15.38291,1,198.5599
99.3719664,6,194,86.95256,10.67872,11.3294,15.40967,1,198.5599
100.3770429,5,195,87.94743,10.68436,11.33499,15.43006,1,198.5599
101.3796638,5,195,88.93945,10.68767,11.34278,15.45089,1,198.5599
102.3822244,5,195,89.93182,10.69223,11.35056,15.47017,1,198.5599
103.3841925,5,195,90.92388,10.69898,11.35639,15.48882,1,198.5599
104.3865511,5,195,91.91589,10.70573,11.36023,15.50963,1,198.5599
105.3908075,5,195,92.91035,10.71093,11.36599,15.53037,1,198.5599
106.3911827,0,200,93.90292,10.71258,11.3737,15.54917,0,198.562
